loosing_hero_id_1,loosing_hero_id_2,loosing_hero_id_3,loosing_hero_id_4,loosing_hero_id_5,winning_hero_id_1,winning_hero_id_2,winning_hero_id_3,winning_hero_id_4,winning_hero_id_5
11,65,88,93,98,9,29,31,49,79
1,3,13,65,97,12,55,60,64,90
9,48,51,68,92,17,47,53,58,73
30,41,75,76,98,7,46,96,99,101
27,41,65,68,78,13,33,49,69,79
8,51,68,74,91,17,31,56,73,99
35,51,75,79,86,1,20,69,74,101
3,22,51,87,106,53,79,86,88,89
48,65,68,75,92,53,72,79,86,97
32,35,50,94,96,2,31,36,44,60
13,15,16,29,101,7,44,68,74,106
15,47,72,80,85,2,5,69,74,93
28,39,59,92,111,34,51,63,84,87
2,9,79,87,94,7,46,55,75,101
5,69,71,72,74,11,16,94,99,112
47,84,87,94,96,14,70,90,104,106
23,51,72,75,89,43,53,63,86,92
31,48,55,73,92,5,17,53,86,94
2,20,23,39,110,5,14,29,70,76
9,27,53,112,114,11,45,48,59,68
17,26,30,72,99,8,20,43,84,96
1,21,28,31,87,55,62,72,85,106
3,17,28,65,93,11,20,57,69,86
9,42,46,68,96,2,13,50,54,83
9,49,65,75,79,13,16,20,55,63
7,64,67,71,74,22,30,35,65,99
52,54,74,79,86,9,20,48,69,83
29,42,43,87,106,27,46,64,77,78
9,26,63,65,88,17,48,51,86,92
9,17,54,73,88,51,63,74,92,102
17,20,29,30,82,2,7,10,13,87
7,47,76,94,112,22,28,31,67,86
30,60,84,93,99,13,15,42,65,75
15,17,39,68,83,6,26,71,74,92
5,13,63,81,91,55,65,72,85,89
20,28,30,70,74,27,43,49,58,88
43,45,64,86,96,7,29,46,101,106
12,39,86,88,90,19,34,55,79,91
53,54,74,86,88,5,7,43,48,51
9,23,50,75,81,27,32,43,51,84
5,42,50,65,106,3,17,58,74,96
26,47,55,93,97,9,86,88,89,98
28,39,48,102,112,14,75,76,86,88
39,59,64,91,104,30,33,61,72,78
9,16,63,89,91,5,13,77,87,96
16,27,35,58,106,4,22,45,51,112
49,52,55,76,79,38,72,81,88,91
16,23,31,34,41,8,17,26,98,103
18,28,30,60,74,8,46,57,97,107
15,29,63,68,102,31,86,96,97,106
26,44,55,62,98,6,20,38,49,50
28,46,50,71,84,42,55,57,74,107
4,7,25,30,99,1,11,26,50,51
3,63,72,83,97,16,49,54,73,101
21,29,79,84,94,13,15,42,91,101
7,11,39,68,98,3,15,19,25,112
5,62,79,93,98,9,17,26,68,88
9,15,41,76,101,20,27,47,69,106
28,43,64,73,74,47,54,57,69,84
5,44,55,57,63,11,13,72,86,92
23,27,40,53,95,9,12,65,68,107
2,8,27,34,75,6,7,39,40,99
22,50,56,83,99,9,15,29,44,79
2,17,46,57,101,11,26,42,96,99
9,42,73,76,90,66,86,89,93,96
18,26,55,97,100,5,7,17,35,99
17,86,99,101,102,29,46,47,84,85
17,54,68,69,87,46,48,79,86,96
7,21,26,39,78,47,85,86,106,110
6,47,53,92,101,9,41,42,51,97
20,39,63,84,103,10,16,30,64,78
13,15,27,69,75,8,16,30,41,47
9,34,69,79,84,7,67,73,96,101
47,49,63,64,73,15,17,69,92,102
7,28,43,80,87,2,47,65,86,110
20,21,28,31,48,14,32,41,44,112
8,11,25,79,100,9,55,57,72,104
14,25,54,63,85,3,9,62,81,91
8,20,65,76,92,9,16,54,68,74
27,29,46,64,89,30,42,49,51,83
20,44,53,75,101,16,30,35,41,55
39,41,50,64,85,2,7,13,27,42
26,42,47,69,91,6,17,25,51,102
1,20,39,64,103,25,49,51,72,86
8,27,33,49,53,15,31,41,74,101
30,44,46,51,68,8,28,47,87,100
20,56,61,62,75,16,27,51,81,98
41,42,69,74,75,6,20,29,43,87
16,57,82,87,97,2,28,54,75,86
26,28,67,74,107,5,18,46,60,99
26,29,75,80,94,7,8,39,85,86
2,20,41,74,84,8,44,57,87,97
7,8,27,69,74,29,33,42,43,101
16,17,54,88,89,26,41,48,55,103
20,42,53,89,93,30,49,58,77,88
7,15,29,30,44,69,73,75,84,86
26,27,49,53,93,8,13,82,83,87
26,29,34,59,71,46,82,96,102,111
37,48,51,60,73,5,49,84,95,108
13,32,54,98,111,2,17,23,55,90
6,51,78,79,92,30,43,63,101,104
10,13,47,90,91,19,20,31,76,96
68,69,88,89,96,26,51,76,84,93
7,12,38,96,106,27,45,52,71,85
15,19,64,84,96,21,29,57,92,93
30,47,49,61,66,2,3,9,72,91
12,29,59,77,107,10,20,22,61,79
5,11,27,43,56,12,19,65,86,90
9,42,47,63,102,15,27,54,68,96
25,26,61,72,112,4,8,11,50,86
17,26,37,51,54,8,23,55,79,97
6,45,82,96,108,16,28,37,93,106
5,13,28,31,63,7,15,17,40,98
13,21,27,40,72,53,63,91,93,102
34,44,64,75,99,15,29,30,78,85
15,75,79,96,106,29,39,47,68,69
16,20,35,41,62,11,13,40,51,87
16,20,46,69,95,3,9,67,74,96
50,54,86,106,110,7,8,17,69,112
72,74,86,104,112,3,7,8,11,27
1,21,46,50,79,16,49,73,92,93
28,65,74,109,112,14,27,39,48,78
20,26,47,51,94,19,31,37,91,99
12,21,30,100,101,7,39,71,106,112
15,42,46,87,96,20,29,74,103,106
64,74,75,85,101,8,11,20,33,38
20,47,68,92,101,9,58,65,79,106
20,21,69,93,101,33,45,64,74,79
33,35,43,78,101,5,18,28,63,92
6,30,49,65,102,9,10,38,79,107
8,26,89,110,112,17,20,29,45,53
1,3,75,78,84,18,47,65,68,91
12,58,74,88,114,3,15,30,65,103
11,28,42,110,112,7,17,71,75,86
2,50,83,93,97,29,30,33,41,75
9,43,53,88,101,40,78,80,92,99
2,8,13,26,103,10,25,31,36,47
4,26,28,44,87,7,8,22,31,63
2,7,15,20,25,19,26,39,60,91
5,60,76,86,98,3,16,63,65,73
23,27,40,69,95,4,9,55,75,88
9,45,47,83,91,21,29,30,31,41
25,38,39,54,55,10,28,30,56,107
